Project,Category,Description
3D car Config,AR,Description pending.
AAUM,Uncategorized,Description pending.
ABB,Uncategorized,Description pending.
AGFA,Uncategorized,Description pending.
Air bag Stimulation,Training,Description pending.
Animation Videos,Internal,Description pending.
Area target,AR,Description pending.
Blender Car-Bridge Realstic Render,Render,Description pending.
Bosch MIC IP 7100i,Uncategorized,Description pending.
Bose Kiosk,Kiosk,Description pending.
Car Config_Hololens,AR,Description pending.
Clarios Booth CES 2022,Kiosk,Description pending.
Conti Tyre,Uncategorized,Description pending.
CSG AR Way Finding,AR,Description pending.
CSG Sales Booth Webgl,Configurator,Description pending.
CSG_Business_AR,AR,Description pending.
Deloitte,Kiosk,Description pending.
Delta VR Aircarft,VR,Description pending.
DOW Phase-2,Uncategorized,Description pending.
EnvyAR,AR,Description pending.
Exair_AR,AR,Description pending.
Facecase,Internal,Description pending.
Fiberon,Render,Description pending.
ForkLift_AR,AR,Description pending.
ForteAR,AR,Description pending.
GeoSpatial Anchor AR Core,AR,Description pending.
Grocery VR,VR,Description pending.
Jel,Uncategorized,Description pending.
LuxAR/CenturyLink,AR,Description pending.
MagnaaR,AR,Description pending.
MELCO Hololens,AR,Description pending.
MelcoAR,AR,Description pending.
Mercedes Trivia,Gamified,Description pending.
MGM,Uncategorized,Description pending.
MRCC,Uncategorized,Description pending.
New,Uncategorized,Description pending.
New Holland Tractor (object tracking),AR,Description pending.
NFL_Etzel Video Capture,Demo Video,Description pending.
NGK,Uncategorized,Description pending.
Realistic Renders Tractor,Render,Description pending.
SAP,Uncategorized,Description pending.
Sixflags,Gamified,Description pending.
SR_Display,Uncategorized,Description pending.
Trivia_Omens,Gamified,Description pending.
Truck Configurator,Configurator,Description pending.
Tuna Business AR Card,AR,Description pending.
Tuna Office Space Lighting,Internal,Description pending.
Tuna Portfolio Video,Internal,Description pending.
Virtual Training,Training,Description pending.
Wabco_AR,AR,Description pending.
Watson VR Softskills training,VR,Description pending.
Webgl_Screenrec,Demo Video,Description pending.
Wind Simulation Demo,Training,Description pending.
Wood Farmer Says Game,Gamified,Description pending.
Zombie VR,VR,Description pending.
Affinity IOS AR,AR,Description pending.
Atlantis Save the Date Concept 1 R2,Demo Video,Description pending.
BLIZ_ExperienceWalkthrough,Demo Video,Description pending.
com.oculus.vrshell,Demo Video,Description pending.
esg_ar_demo_2023,AR,Description pending.
Exterior Walkthrough Demo,Demo Video,Description pending.
Fiberon House 1,Render,Description pending.
Fiberon House 2,Render,Description pending.
Fiberon House 3,Render,Description pending.
HDRP Realtime Render Demo CAR,Render,Description pending.
IMG_8284,Demo Video,Description pending.
Latest_11_08,Demo Video,Description pending.
Lucid Demo _Platformintegration,Configurator,Description pending.
LucidDemo 1,Configurator,Description pending.
Melco Demo House 2 HoloLens,AR,Description pending.
MELCO HoloLens,AR,Description pending.
module tc,Demo Video,Description pending.
module one landscape,Demo Video,Description pending.
plan 3B_1,Demo Video,Description pending.
Promo_mp4,Demo Video,Description pending.
sample_OO1,Demo Video,Description pending.
sample_204-1,Demo Video,Description pending.
TunaCarConfigurator,Configurator,Description pending.
Video-Mobile-Field-Trip-Teaser-1,Demo Video,Description pending.
Volumetric lighting test vé,Render,Description pending.
